+------------------------------------------------------------------------+--------+
| displayname                                                            | size   |
| Oracle-Linux-8.6-Gen2-GPU-2022.06.30-0                                 | 47694  |
| Oracle-Linux-8.6-Gen2-GPU-2022.05.31-0                                 | 47694  |
| Oracle-Linux-8.6-2022.06.30-0                                          | 47694  |
| Oracle-Linux-8.6-2022.05.31-0                                          | 47694  |
| Oracle-Linux-8.5-aarch64-2022.04.26-0                                  | 47694  |
| Oracle-Linux-8.5-Gen2-GPU-2022.04.25-0                                 | 47694  |
| Oracle-Linux-8.5-2022.04.26-0                                          | 47694  |
| Oracle-Linux-7.9-aarch64-2022.06.30-0                                  | 47694  |
| Oracle-Linux-7.9-aarch64-2022.05.30-0                                  | 47694  |
| Oracle-Linux-7.9-aarch64-2022.04.26-0                                  | 47694  |
| Oracle-Linux-7.9-Gen2-GPU-2022.06.30-0                                 | 47694  |
| Oracle-Linux-7.9-Gen2-GPU-2022.05.31-0                                 | 47694  |
| Oracle-Linux-7.9-Gen2-GPU-2022.04.25-0                                 | 47694  |
| Oracle-Linux-7.9-2022.06.30-0                                          | 47694  |
| Oracle-Linux-7.9-2022.05.31-0                                          | 47694  |
| Oracle-Linux-7.9-2022.04.26-0                                          | 47694  |
| Oracle-Linux-6.10-2022.02.13-1                                         | 47694  |
| Oracle-Linux-6.10-2021.03.17-0                                         | 47694  |
| Oracle-Linux-6.10-2021.02.19-0                                         | 47694  |
| Oracle-Autonomous-Linux-7.9-2022.06-0                                  | 47694  |
| Oracle-Autonomous-Linux-7.9-2022.05-0                                  | 47694  |
| Oracle-Autonomous-Linux-7.9-2022.04-0                                  | 47694  |
| CentOS-8-Stream-2022.04.21-0                                           | 47694  |
| CentOS-7-2022.06.21-0                                                  | 47694  |
| CentOS-7-2022.05.30-0                                                  | 47694  |
| CentOS-7-2022.04.26-0                                                  | 47694  |
| Canonical-Ubuntu-22.04-aarch64-2022.06.16-0                            | 47694  |
| Canonical-Ubuntu-22.04-aarch64-2022.05.17-0                            | 47694  |
| Canonical-Ubuntu-22.04-Minimal-aarch64-2022.06.19-0                    | 47694  |
| Canonical-Ubuntu-22.04-Minimal-aarch64-2022.05.15-0                    | 47694  |
| Canonical-Ubuntu-22.04-Minimal-2022.06.19-0                            | 47694  |
| Canonical-Ubuntu-22.04-Minimal-2022.05.15-0                            | 47694  |
| Canonical-Ubuntu-22.04-2022.06.16-0                                    | 47694  |
| Canonical-Ubuntu-22.04-2022.05.17-0                                    | 47694  |
| Canonical-Ubuntu-20.04-aarch64-2022.06.15-0                            | 47694  |
| Canonical-Ubuntu-20.04-aarch64-2022.05.11-0                            | 47694  |
| Canonical-Ubuntu-20.04-aarch64-2022.04.19-0                            | 47694  |
| Canonical-Ubuntu-20.04-Minimal-2022.06.20-0                            | 47694  |
| Canonical-Ubuntu-20.04-Minimal-2022.05.11-0                            | 47694  |
| Canonical-Ubuntu-20.04-Minimal-2022.04.19-0                            | 47694  |
| Canonical-Ubuntu-20.04-2022.06.15-0                                    | 47694  |
| Canonical-Ubuntu-20.04-2022.05.11-0                                    | 47694  |
| Canonical-Ubuntu-20.04-2022.04.19-0                                    | 47694  |
| Canonical-Ubuntu-18.04-aarch64-2022.06.16-0                            | 47694  |
| Canonical-Ubuntu-18.04-aarch64-2022.05.14-0                            | 47694  |
| Canonical-Ubuntu-18.04-aarch64-2022.04.24-0                            | 47694  |
| Canonical-Ubuntu-18.04-Minimal-2022.06.20-0                            | 47694  |
| Canonical-Ubuntu-18.04-Minimal-2022.05.15-0                            | 47694  |
| Canonical-Ubuntu-18.04-Minimal-2022.04.19-0                            | 47694  |
| Canonical-Ubuntu-18.04-2022.06.16-0                                    | 47694  |
| Canonical-Ubuntu-18.04-2022.05.14-0                                    | 47694  |
| Canonical-Ubuntu-18.04-2022.04.24-0                                    | 47694  |
+------------------------------------------------------------------------+--------+
oci compute image list -c $c --profile personal  --query "data [*].{displayname:\"display-name\", size:\"size-in-mbs\"}" --output table --all
